"PLAYER" "TEAM" "POS" "GP" "G" "A" "P" "P.GP" "X..." "Sh" "Sh." "TOI" "EXP..YEAR" "CAP.HIT"
"Nathan MacKinnon" "COL" "C" 82 51 89 140 1.71 "35" "405" "0.13" "22:48" 2031 12600000
"Connor McDavid" "EDM" "C" 76 32 100 132 1.74 "35" "263" "0.12" "21:21" 2026 12500000
"Artemi Panarin" "NYR" "LW" 82 49 71 120 1.46 "18" "302" "0.16" "20:07" 2026 11642857
"Auston Matthews" "TOR" "C" 81 69 38 107 1.32 "31" "369" "0.19" "20:57" 2024 11640250
"David Pastrnak" "BOS" "RW" 82 47 63 110 1.34 "21" "382" "0.12" "19:55" 2031 11250000
"John Tavares" "TOR" "C, LW" 80 29 36 65 0.81 "2" "279" "0.1" "17:51" 2025 1.1e+07
"Mitchell Marner" "TOR" "RW" 69 26 59 85 1.23 "21" "158" "0.16" "21:16" 2025 10903000
"Jonathan Huberdeau" "CGY" "LW, RW" 81 12 40 52 0.64 "-29" "143" "0.08" "17:25" 2031 10500000
"Anze Kopitar" "LAK" "C" 81 26 44 70 0.86 "11" "133" "0.2" "19:39" 2024 1e+07
"Aleksander Barkov" "FLA" "C" 73 23 57 80 1.1 "33" "193" "0.12" "19:38" 2030 1e+07
"Jack Eichel" "VGK" "C" 63 31 37 68 1.08 "4" "278" "0.11" "20:31" 2026 1e+07
"Tyler Seguin" "DAL" "C, RW" 68 25 27 52 0.76 "10" "154" "0.16" "16:32" 2027 9850000
"Johnny Gaudreau" "CBJ" "LW" 81 12 48 60 0.74 "-27" "160" "0.08" "18:48" 2029 9750000
"Nikita Kucherov" "TBL" "RW" 81 44 100 144 1.78 "8" "306" "0.14" "21:40" 2027 9500000
"Matthew Tkachuk" "FLA" "RW" 80 26 62 88 1.1 "19" "280" "0.09" "18:38" 2030 9500000
"Alex Ovechkin" "WSH" "LW" 79 31 34 65 0.82 "-22" "272" "0.11" "19:13" 2026 9500000
"Mark Stone" "VGK" "RW" 56 16 37 53 0.95 "1" "117" "0.14" "19:24" 2027 9500000
"Brayden Point" "TBL" "C, RW" 81 46 44 90 1.11 "-16" "227" "0.2" "20:02" 2030 9500000
"Jamie Benn" "DAL" "LW, C" 82 21 39 60 0.73 "8" "164" "0.13" "15:07" 2025 9500000
"Mikko Rantanen" "COL" "RW, C" 80 42 62 104 1.3 "19" "271" "0.16" "22:54" 2025 9250000
"Mathew Barzal" "NYI" "C, RW" 80 23 57 80 1 "-4" "240" "0.1" "20:07" 2031 9150000
"Kirill Kaprizov" "MIN" "LW" 75 46 50 96 1.28 "11" "277" "0.17" "21:34" 2026 9e+06
"Jeff Skinner" "BUF" "LW, RW" 74 24 22 46 0.62 "-2" "211" "0.11" "15:59" 2027 9e+06
"Timo Meier" "NJD" "LW, RW" 69 28 24 52 0.75 "-28" "207" "0.14" "17:36" 2031 8800000
"Dylan Larkin" "DET" "C" 68 33 36 69 1.01 "5" "221" "0.15" "20:10" 2031 8700000
"Patrik Laine" "CBJ" "C, RW, LW" 18 6 3 9 0.5 "-10" "41" "0.15" "15:13" 2026 8700000
"Sidney Crosby" "PIT" "C" 82 42 52 94 1.15 "7" "278" "0.15" "20:05" 2025 8700000
